POLLINATOR_NAME,PLANT_NAME,Group
Andrena flavipes,Salix fragilis,Bee
Andrena flavipes,Salix pentandra,Bee
Andrena flavipes,Salix repens,Bee
Andrena flavipes,Salix viminalis,Bee
Andrena flavipes,Senecio aquaticus,Bee
Andrena flavipes,Senecio cineraria,Bee
Andrena flavipes,Senecio erucifolius,Bee
Andrena flavipes,Senecio jacobaea,Bee
Andrena flavipes,Senecio squalidus,Bee
Andrena flavipes,Senecio vulgaris,Bee
Andrena flavipes,Sisymbrium officinale,Bee
Andrena flavipes,Smyrnium olusatrum,Bee
Andrena flavipes,Solidago canadensis,Bee
Andrena flavipes,Solidago virgaurea,Bee
Andrena flavipes,Stellaria graminea,Bee
Andrena flavipes,Stellaria holostea,Bee
Andrena flavipes,Stellaria media,Bee
Andrena flavipes,Stellaria nemorum,Bee
Andrena flavipes,Symphytum asperum x officinale = S. x uplandicum,Bee
Andrena flavipes,Symphytum officinale,Bee
Andrena flavipes,Taraxacum,Bee
Andrena flavipes,Thymus polytrichus,Bee
Andrena flavipes,Thymus pulegioides,Bee
Andrena flavipes,Thymus serpyllum,Bee
Andrena flavipes,Trifolium pratense,Bee
Andrena flavipes,Trifolium repens,Bee
Andrena flavipes,Tripleurospermum inodorum,Bee
Andrena flavipes,Tussilago farfara,Bee
Andrena flavipes,Ulex europaeus,Bee
Andrena flavipes,Veronica beccabunga,Bee
Andrena flavipes,Veronica chamaedrys,Bee
Andrena flavipes,Veronica officinalis,Bee
Andrena flavipes,Veronica persica,Bee
Andrena flavipes,Veronica spicata,Bee
Andrena florea,Bryonia dioica,Bee
Andrena fucata,Anthriscus sylvestris,Bee
Andrena fucata,Euphorbia amygdaloides,Bee
Andrena fucata,Heracleum mantegazzianum,Bee
Andrena fucata,Heracleum sphondylium,Bee
Andrena fucata,Oenanthe crocata,Bee
Andrena fucata,Oenanthe pimpinelloides,Bee
Andrena fucata,Oenanthe silaifolia,Bee
Andrena fucata,Rhododendron ponticum,Bee
Andrena fucata,Rubus caesius,Bee
Andrena fucata,Rubus fruticosus,Bee
Andrena fucata,Rubus idaeus,Bee
Andrena fucata,Rubus spectabilis,Bee
Andrena fucata,Taraxacum,Bee
Andrena fucata,Ulex europaeus,Bee
Andrena fucata,Veronica beccabunga,Bee
Andrena fucata,Veronica chamaedrys,Bee
Andrena fucata,Veronica officinalis,Bee
Andrena fucata,Veronica persica,Bee
Andrena fucata,Veronica spicata,Bee
Andrena fulva,Acer campestre,Bee
Andrena fulva,Acer platanoides,Bee
Andrena fulva,Acer pseudoplatanus,Bee
Andrena fulva,Angelica sylvestris,Bee
Andrena fulva,Brassica napus,Bee
Andrena fulva,Calluna vulgaris,Bee
Andrena fulva,Cotoneaster bullatus,Bee
Andrena fulva,Cotoneaster horizontalis,Bee
Andrena fulva,Cotoneaster simonsii,Bee
Andrena fulva,Crataegus monogyna,Bee
Andrena fulva,Euphorbia amygdaloides,Bee
Andrena fulva,Ilex aquifolium,Bee
Andrena fulva,Malus domestica,Bee
Andrena fulva,Malus sylvestris,Bee
Andrena fulva,Prunus avium,Bee
Andrena fulva,Prunus cerasifera,Bee
Andrena fulva,Prunus cerasus,Bee
Andrena fulva,Prunus domestica,Bee
Andrena fulva,Prunus laurocerasus,Bee
Andrena fulva,Prunus padus,Bee
Andrena fulva,Prunus spinosa,Bee
Andrena fulva,Salix alba,Bee
Andrena fulva,Salix aurita,Bee
Andrena fulva,Salix caprea,Bee
Andrena fulva,Salix cinerea,Bee
Andrena fulva,Salix fragilis,Bee
Andrena fulva,Salix pentandra,Bee
Andrena fulva,Salix repens,Bee
Andrena fulva,Salix viminalis,Bee
Andrena fulva,Smyrnium olusatrum,Bee
Andrena fulva,Taraxacum,Bee
Andrena fulva,Ulex europaeus,Bee
Andrena fulva,Vaccinium myrtillus,Bee
Andrena fulva,Vaccinium uliginosum,Bee
Andrena fulva,Vaccinium vitis-idaea,Bee
Andrena fulva,Viburnum lantana,Bee
Andrena fulva,Viburnum opulus,Bee
Andrena fulvago,Crepis biennis,Bee
Andrena fulvago,Crepis capillaris,Bee
Andrena fulvago,Crepis vesicaria,Bee
Andrena fulvago,Daucus carota,Bee
Andrena fulvago,Heracleum sphondylium,Bee
Andrena fulvago,Hypochaeris radicata,Bee
Andrena fulvago,Leontodon hispidus,Bee
Andrena fulvago,Sonchus arvensis,Bee
Andrena fulvago,Taraxacum,Bee
Andrena fuscipes,Calluna vulgaris,Bee
Andrena fuscipes,Hypochaeris radicata,Bee
Andrena fuscipes,Leontodon hispidus,Bee
Andrena fuscipes,Succisa pratensis,Bee
Andrena haemorrhoa,Acer campestre,Bee
Andrena haemorrhoa,Acer platanoides,Bee
Andrena haemorrhoa,Acer pseudoplatanus,Bee
Andrena haemorrhoa,Aegopodium podagraria,Bee
Andrena haemorrhoa,Angelica sylvestris,Bee
Andrena haemorrhoa,Anthriscus sylvestris,Bee
Andrena haemorrhoa,Anthyllis vulneraria,Bee
Andrena haemorrhoa,Armeria maritima,Bee
Andrena haemorrhoa,Bellis perennis,Bee
Andrena haemorrhoa,Brassica napus,Bee
Andrena haemorrhoa,Brassica oleracea,Bee
Andrena haemorrhoa,Bryonia dioica,Bee
Andrena haemorrhoa,Calluna vulgaris,Bee
Andrena haemorrhoa,Comarum palustre,Bee
Andrena haemorrhoa,Conium maculatum,Bee
Andrena haemorrhoa,Cotoneaster bullatus,Bee
Andrena haemorrhoa,Cotoneaster horizontalis,Bee
Andrena haemorrhoa,Cotoneaster simonsii,Bee
Andrena haemorrhoa,Crataegus monogyna,Bee
Andrena haemorrhoa,Euphorbia amygdaloides,Bee
Andrena haemorrhoa,Euphorbia hyberna,Bee
Andrena haemorrhoa,Euphorbia paralias,Bee
Andrena haemorrhoa,Euphorbia portlandica,Bee
Andrena haemorrhoa,Ficaria verna,Bee
Andrena haemorrhoa,Heracleum mantegazzianum,Bee
Andrena haemorrhoa,Heracleum sphondylium,Bee
Andrena haemorrhoa,Ilex aquifolium,Bee
Andrena haemorrhoa,Laurus nobilis,Bee
Andrena haemorrhoa,Lepidium draba,Bee
